pid,cntry,year,w1,age,female,edu4,cosmo,util,comm,lib,pos,neg,unemp,growth,bailout
11796,EE,2008,1.1726,56,1,e20plus,0.333333,0,0,0.666667,0.333333,0.666667,5.449999809,-5.132000958,0
11797,EE,2008,1.2084,58,1,e20plus,0.333333,0.333333,0,0.333333,0.666667,0.333333,5.449999809,-5.132000958,0
11798,EE,2008,0.9224,40,1,le15,0.25,0,0.75,0,0.25,0.75,5.449999809,-5.132000958,0
11799,EE,2008,1.0879,51,1,le15,0,0,1,0,0,1,5.449999809,-5.132000958,0
11800,EE,2008,0.8687,36,1,e16_19,0.2,0.4,0,0.4,0.6,0.4,5.449999809,-5.132000958,0
11801,EE,2008,1.4251,69,0,le15,0.333333,0,0.5,0.166667,0.333333,0.666667,5.449999809,-5.132000958,0
11802,EE,2008,0.9649,43,1,e16_19,0.5,0,0,0.5,0.5,0.5,5.449999809,-5.132000958,0
11803,EE,2008,1.0093,46,1,le15,0,0,0.5,0.5,0,1,5.449999809,-5.132000958,0
11804,EE,2008,0.9364,41,0,e20plus,0.666667,0,0,0.333333,0.666667,0.333333,5.449999809,-5.132000958,0
11805,EE,2008,1.138,54,1,e20plus,0,0,0,1,0,1,5.449999809,-5.132000958,0
11806,EE,2008,1.264,61,1,le15,0,0,1,0,0,1,5.449999809,-5.132000958,0
11807,EE,2008,0.7939,30,0,e16_19,0,0,0.333333,0.666667,0,1,5.449999809,-5.132000958,0
11808,EE,2008,1.0093,46,0,e20plus,1,0,0,0,1,0,5.449999809,-5.132000958,0
11809,EE,2008,0.9943,45,0,e20plus,0.75,0,0.125,0.125,0.75,0.25,5.449999809,-5.132000958,0
11810,EE,2008,0.8687,36,1,e16_19,0.5,0,0.5,0,0.5,0.5,5.449999809,-5.132000958,0
11811,EE,2008,1.121,53,1,le15,1,0,0,0,1,0,5.449999809,-5.132000958,0
11812,EE,2008,1.3624,66,0,e16_19,0,0,0,1,0,1,5.449999809,-5.132000958,0
11813,EE,2008,0.634,15,1,le15,0,0,0,0,0,0,5.449999809,-5.132000958,0
11814,EE,2008,0.8558,35,1,e20plus,1,0,0,0,1,0,5.449999809,-5.132000958,0
11815,EE,2008,0.9795,44,1,e20plus,0,0,1,0,0,1,5.449999809,-5.132000958,0
11816,EE,2008,0.7821,29,1,e20plus,0.5,0,0,0.5,0.5,0.5,5.449999809,-5.132000958,0
11817,EE,2008,0.9943,45,0,e16_19,0.5,0,0,0.5,0.5,0.5,5.449999809,-5.132000958,0
11818,EE,2008,0.8305,33,0,e20plus,1,0,0,0,1,0,5.449999809,-5.132000958,0
11819,EE,2008,1.1904,57,0,e16_19,0.4,0.6,0,0,1,0,5.449999809,-5.132000958,0
11820,EE,2008,0.7042,22,1,e20plus,1,0,0,0,1,0,5.449999809,-5.132000958,0
11821,EE,2008,0.6436,16,1,e20plus,0,0,0.5,0.5,0,1,5.449999809,-5.132000958,0
11822,EE,2008,1.0246,47,0,e20plus,1,0,0,0,1,0,5.449999809,-5.132000958,0
11823,EE,2008,1.1726,56,1,e20plus,0,0,0,1,0,1,5.449999809,-5.132000958,0
11824,EE,2008,0.9649,43,0,le15,0,0,0,0,0,0,5.449999809,-5.132000958,0
11825,EE,2008,1.3624,66,1,studying,0.428571,0.142857,0.285714,0.142857,0.571429,0.428571,5.449999809,-5.132000958,0
11826,EE,2008,0.7366,25,0,e20plus,0.8,0,0.2,0,0.8,0.2,5.449999809,-5.132000958,0
11827,EE,2008,1.0558,49,0,e16_19,0.333333,0,0,0.666667,0.333333,0.666667,5.449999809,-5.132000958,0
11828,EE,2008,0.8305,33,1,e16_19,1,0,0,0,1,0,5.449999809,-5.132000958,0
11829,EE,2008,0.9224,40,1,le15,0,0,0.666667,0.333333,0,1,5.449999809,-5.132000958,0
11830,EE,2008,1.0717,50,0,e16_19,1,0,0,0,1,0,5.449999809,-5.132000958,0
11831,EE,2008,0.9364,41,0,e20plus,0,0,0,1,0,1,5.449999809,-5.132000958,0
11832,EE,2008,1.04,48,1,e16_19,1,0,0,0,1,0,5.449999809,-5.132000958,0
11833,EE,2008,0.7366,25,1,e20plus,0,1,0,0,1,0,5.449999809,-5.132000958,0
11834,EE,2008,1.2831,62,0,le15,0,0,0.5,0.5,0,1,5.449999809,-5.132000958,0
11835,EE,2008,0.8181,32,1,e16_19,0.666667,0,0,0.333333,0.666667,0.333333,5.449999809,-5.132000958,0
11836,EE,2008,0.8687,36,0,le15,1,0,0,0,1,0,5.449999809,-5.132000958,0
11837,EE,2008,1.264,61,0,e20plus,0.5,0,0,0.5,0.5,0.5,5.449999809,-5.132000958,0
11838,EE,2008,0.8952,38,1,e16_19,0.2,0,0,0.8,0.2,0.8,5.449999809,-5.132000958,0
11839,EE,2008,1.0093,46,1,le15,0.75,0.25,0,0,1,0,5.449999809,-5.132000958,0
11840,EE,2008,1.04,48,1,e16_19,0.333333,0,0.666667,0,0.333333,0.666667,5.449999809,-5.132000958,0
11841,EE,2008,0.843,34,0,e16_19,0.75,0.25,0,0,1,0,5.449999809,-5.132000958,0
11842,EE,2008,0.9087,39,0,le15,0.5,0,0,0.5,0.5,0.5,5.449999809,-5.132000958,0
11843,EE,2008,1.121,53,0,le15,0.166667,0,0.166667,0.666667,0.166667,0.833333,5.449999809,-5.132000958,0
11844,EE,2008,1.0093,46,0,e16_19,1,0,0,0,1,0,5.449999809,-5.132000958,0
11845,EE,2008,0.8687,36,0,e16_19,1,0,0,0,1,0,5.449999809,-5.132000958,0
11846,EE,2008,1.0558,49,1,e16_19,1,0,0,0,1,0,5.449999809,-5.132000958,0
11847,EE,2008,1.0558,49,0,le15,0.333333,0,0,0.666667,0.333333,0.666667,5.449999809,-5.132000958,0
11848,EE,2008,0.6436,16,0,le15,0.5,0,0,0.5,0.5,0.5,5.449999809,-5.132000958,0
11849,EE,2008,0.9087,39,1,le15,0.5,0,0,0.5,0.5,0.5,5.449999809,-5.132000958,0
11850,EE,2008,1.0879,51,1,le15,0.6,0,0.2,0.2,0.6,0.4,5.449999809,-5.132000958,0
11851,EE,2008,1.0246,47,1,e16_19,0.666667,0,0.333333,0,0.666667,0.333333,5.449999809,-5.132000958,0
11852,EE,2008,0.9795,44,0,e20plus,0.333333,0.333333,0,0.333333,0.666667,0.333333,5.449999809,-5.132000958,0
11853,EE,2008,0.8305,33,0,le15,0.333333,0,0.666667,0,0.333333,0.666667,5.449999809,-5.132000958,0
11854,EE,2008,1.04,48,0,e20plus,0.5,0,0.5,0,0.5,0.5,5.449999809,-5.132000958,0
11855,EE,2008,0.8558,35,0,e16_19,1,0,0,0,1,0,5.449999809,-5.132000958,0
11856,EE,2008,0.8181,32,1,e20plus,0.4,0,0.4,0.2,0.4,0.6,5.449999809,-5.132000958,0
11857,EE,2008,1.1904,57,1,e20plus,0,0,0,0,0,0,5.449999809,-5.132000958,0
11858,EE,2008,1.0558,49,0,le15,0,0,0,0,0,0,5.449999809,-5.132000958,0
11859,EE,2008,0.9505,42,0,e16_19,0.666667,0,0.166667,0.166667,0.666667,0.333333,5.449999809,-5.132000958,0
11860,EE,2008,1.1552,55,1,le15,0,0,0,1,0,1,5.449999809,-5.132000958,0
11861,EE,2008,0.9943,45,1,e20plus,0.25,0,0,0.75,0.25,0.75,5.449999809,-5.132000958,0
11862,EE,2008,0.9505,42,1,e20plus,1,0,0,0,1,0,5.449999809,-5.132000958,0
11863,EE,2008,1.4907,72,0,le15,0.333333,0.333333,0.333333,0,0.666667,0.333333,5.449999809,-5.132000958,0
11864,EE,2008,0.8558,35,0,le15,0,0,0,0,0,0,5.449999809,-5.132000958,0
11865,EE,2008,1.383,67,1,e16_19,0,0.333333,0.333333,0.333333,0.333333,0.666667,5.449999809,-5.132000958,0
11866,EE,2008,1.9237,89,0,le15,0,0.4,0.4,0.2,0.4,0.6,5.449999809,-5.132000958,0
11867,EE,2008,1.2084,58,0,e20plus,1,0,0,0,1,0,5.449999809,-5.132000958,0
11868,EE,2008,0.9087,39,1,e20plus,0,0,0,1,0,1,5.449999809,-5.132000958,0
11869,EE,2008,1.0093,46,0,e16_19,0,0,1,0,0,1,5.449999809,-5.132000958,0
11870,EE,2008,0.9649,43,0,studying,0,0,0,1,0,1,5.449999809,-5.132000958,0
11871,EE,2008,1.138,54,1,e16_19,0.25,0,0.5,0.25,0.25,0.75,5.449999809,-5.132000958,0
11872,EE,2008,1.1552,55,0,e16_19,0.5,0,0.5,0,0.5,0.5,5.449999809,-5.132000958,0
11873,EE,2008,0.9649,43,0,e16_19,0.2,0,0.2,0.6,0.2,0.8,5.449999809,-5.132000958,0
11874,EE,2008,0.9649,43,1,le15,0.5,0.5,0,0,1,0,5.449999809,-5.132000958,0
11875,EE,2008,0.8558,35,0,e16_19,0,0,0.25,0.75,0,1,5.449999809,-5.132000958,0
11876,EE,2008,0.9224,40,1,le15,0.333333,0,0,0.666667,0.333333,0.666667,5.449999809,-5.132000958,0
11877,EE,2008,1.3025,63,0,e20plus,0,0,0.5,0.5,0,1,5.449999809,-5.132000958,0
11878,EE,2008,0.7821,29,1,le15,0.5,0,0.5,0,0.5,0.5,5.449999809,-5.132000958,0
11879,EE,2008,1.04,48,0,le15,0.5,0,0.5,0,0.5,0.5,5.449999809,-5.132000958,0
11880,EE,2008,0.7366,25,1,studying,0.5,0,0.5,0,0.5,0.5,5.449999809,-5.132000958,0
11881,EE,2008,1.3221,64,1,e16_19,0.666667,0.333333,0,0,1,0,5.449999809,-5.132000958,0
11882,EE,2008,0.6533,17,1,e16_19,0.6,0,0.4,0,0.6,0.4,5.449999809,-5.132000958,0
11883,EE,2008,1.2266,59,0,e20plus,1,0,0,0,1,0,5.449999809,-5.132000958,0
11884,EE,2008,0.6732,19,0,e16_19,0,0,0,0,0,0,5.449999809,-5.132000958,0
11885,EE,2008,1.2452,60,1,e20plus,0,0.333333,0.333333,0.333333,0.333333,0.666667,5.449999809,-5.132000958,0
11886,EE,2008,1.0093,46,0,studying,0.666667,0,0.333333,0,0.666667,0.333333,5.449999809,-5.132000958,0
11887,EE,2008,0.9087,39,1,e20plus,0,0,0,1,0,1,5.449999809,-5.132000958,0
11888,EE,2008,0.8059,31,1,studying,1,0,0,0,1,0,5.449999809,-5.132000958,0
11889,EE,2008,1.1552,55,1,e16_19,0,0,0,1,0,1,5.449999809,-5.132000958,0
11890,EE,2008,0.8558,35,1,e16_19,0.666667,0,0,0.333333,0.666667,0.333333,5.449999809,-5.132000958,0
11891,EE,2008,0.9364,41,1,e16_19,0.428571,0,0.571429,0,0.428571,0.571429,5.449999809,-5.132000958,0
11892,EE,2008,0.6533,17,0,studying,0,0,0.666667,0.333333,0,1,5.449999809,-5.132000958,0
11893,EE,2008,1.1904,57,1,e16_19,0.333333,0,0.333333,0.333333,0.333333,0.666667,5.449999809,-5.132000958,0
11894,EE,2008,0.7939,30,1,e16_19,0,0,0,1,0,1,5.449999809,-5.132000958,0
11895,EE,2008,1.1552,55,0,e16_19,0,0,1,0,0,1,5.449999809,-5.132000958,0
11896,EE,2008,0.7256,24,0,e16_19,0.666667,0,0,0.333333,0.666667,0.333333,5.449999809,-5.132000958,0
11897,EE,2008,0.759,27,0,e16_19,0.666667,0,0.166667,0.166667,0.666667,0.333333,5.449999809,-5.132000958,0
11898,EE,2008,1.0717,50,1,le15,0,0,0,0,0,0,5.449999809,-5.132000958,0
11899,EE,2008,1.121,53,0,e20plus,1,0,0,0,1,0,5.449999809,-5.132000958,0
11900,EE,2008,0.8059,31,1,e16_19,0.5,0,0.25,0.25,0.5,0.5,5.449999809,-5.132000958,0
11901,EE,2008,0.8059,31,1,le15,1,0,0,0,1,0,5.449999809,-5.132000958,0
11902,EE,2008,1.1726,56,0,le15,0.333333,0.333333,0,0.333333,0.666667,0.333333,5.449999809,-5.132000958,0
11903,EE,2008,1.0093,46,1,e16_19,1,0,0,0,1,0,5.449999809,-5.132000958,0
11904,EE,2008,0.9505,42,1,le15,0.333333,0,0,0.666667,0.333333,0.666667,5.449999809,-5.132000958,0
11905,EE,2009,0.6948,23,0,le15,0.2,0.2,0.2,0.4,0.4,0.6,13.55000019,-14.62905503,0
11906,EE,2009,0.6845,22,1,e16_19,0.333333,0,0,0.666667,0.333333,0.666667,13.55000019,-14.62905503,0
11907,EE,2009,1.3646,68,1,e20plus,0,1,0,0,1,0,13.55000019,-14.62905503,0
11908,EE,2009,0.7834,31,1,e16_19,0,0,1,0,0,1,13.55000019,-14.62905503,0
11909,EE,2009,1.0734,52,1,e16_19,0,0,0,1,0,1,13.55000019,-14.62905503,0
11910,EE,2009,0.9521,44,0,e20plus,0.75,0,0,0.25,0.75,0.25,13.55000019,-14.62905503,0
11911,EE,2009,0.7489,28,0,le15,0,0,0,0,0,0,13.55000019,-14.62905503,0
11912,EE,2009,0.8966,40,1,le15,0,0,1,0,0,1,13.55000019,-14.62905503,0
11913,EE,2009,0.7053,24,1,le15,1,0,0,0,1,0,13.55000019,-14.62905503,0
11914,EE,2009,1.0262,49,1,e20plus,1,0,0,0,1,0,13.55000019,-14.62905503,0
11915,EE,2009,1.7089,83,1,e16_19,0.285714,0.142857,0.571429,0,0.428571,0.571429,13.55000019,-14.62905503,0
11916,EE,2009,1.0417,50,0,e20plus,0.5,0,0.5,0,0.5,0.5,13.55000019,-14.62905503,0
11917,EE,2009,0.8572,37,1,le15,0.5,0,0.5,0,0.5,0.5,13.55000019,-14.62905503,0
11918,EE,2009,1.6584,81,0,e20plus,1,0,0,0,1,0,13.55000019,-14.62905503,0
11919,EE,2009,0.7489,28,0,e20plus,0.2,0,0,0.8,0.2,0.8,13.55000019,-14.62905503,0
11920,EE,2009,0.8833,39,1,le15,0,0,0.25,0.75,0,1,13.55000019,-14.62905503,0
11921,EE,2009,0.635,17,1,le15,0,0,1,0,0,1,13.55000019,-14.62905503,0
11922,EE,2009,1.1571,57,1,e16_19,0.333333,0,0,0.666667,0.333333,0.666667,13.55000019,-14.62905503,0
11923,EE,2009,1.1745,58,0,e16_19,0,0,0,1,0,1,13.55000019,-14.62905503,0
11924,EE,2009,1.1229,55,1,e16_19,1,0,0,0,1,0,13.55000019,-14.62905503,0
11925,EE,2009,1.1229,55,0,e16_19,0.666667,0,0.333333,0,0.666667,0.333333,13.55000019,-14.62905503,0
11926,EE,2009,0.7489,28,1,e16_19,0.2,0,0.4,0.4,0.2,0.8,13.55000019,-14.62905503,0
11927,EE,2009,1.3243,66,0,e20plus,0.75,0,0.25,0,0.75,0.25,13.55000019,-14.62905503,0
11928,EE,2009,1.2472,62,0,le15,0,0,0.4,0.6,0,1,13.55000019,-14.62905503,0
11929,EE,2009,0.7952,32,0,le15,0.5,0,0,0.5,0.5,0.5,13.55000019,-14.62905503,0
11930,EE,2009,0.7952,32,1,studying,1,0,0,0,1,0,13.55000019,-14.62905503,0
11931,EE,2009,0.7834,31,1,e16_19,0.375,0.125,0.125,0.375,0.5,0.5,13.55000019,-14.62905503,0
11932,EE,2009,1.3046,65,1,e16_19,0,0,0.5,0.5,0,1,13.55000019,-14.62905503,0
11933,EE,2009,0.716,25,1,le15,0.333333,0,0.333333,0.333333,0.333333,0.666667,13.55000019,-14.62905503,0
11934,EE,2009,0.9102,41,1,e16_19,0.5,0.166667,0.333333,0,0.666667,0.333333,13.55000019,-14.62905503,0
11935,EE,2009,0.8318,35,1,studying,0.8,0.2,0,0,1,0,13.55000019,-14.62905503,0
11936,EE,2009,0.6948,23,0,e16_19,0.375,0.125,0.5,0,0.5,0.5,13.55000019,-14.62905503,0
11937,EE,2009,1.0417,50,1,le15,0.333333,0.666667,0,0,1,0,13.55000019,-14.62905503,0
11938,EE,2009,1.1229,55,0,e16_19,1,0,0,0,1,0,13.55000019,-14.62905503,0
11939,EE,2009,0.8833,39,0,e16_19,0.333333,0.333333,0.333333,0,0.666667,0.333333,13.55000019,-14.62905503,0
11940,EE,2009,1.449,72,0,e20plus,0,0,0,1,0,1,13.55000019,-14.62905503,0
11941,EE,2009,0.8444,36,1,e16_19,0,0,0.5,0.5,0,1,13.55000019,-14.62905503,0
11942,EE,2009,0.8318,35,1,e20plus,0.666667,0,0.333333,0,0.666667,0.333333,13.55000019,-14.62905503,0
11943,EE,2009,0.9102,41,1,e16_19,0.5,0,0.25,0.25,0.5,0.5,13.55000019,-14.62905503,0
11944,EE,2009,0.6642,20,1,e16_19,0,0.5,0,0.5,0.5,0.5,13.55000019,-14.62905503,0
11945,EE,2009,0.9665,45,0,studying,1,0,0,0,1,0,13.55000019,-14.62905503,0
11946,EE,2009,1.0109,48,1,e16_19,0,0,0,0,0,0,13.55000019,-14.62905503,0
11947,EE,2009,1.3046,65,1,studying,0.833333,0.166667,0,0,1,0,13.55000019,-14.62905503,0
11948,EE,2009,0.6162,15,1,e20plus,0.75,0,0,0.25,0.75,0.25,13.55000019,-14.62905503,0
11949,EE,2009,1.3852,69,1,e20plus,1,0,0,0,1,0,13.55000019,-14.62905503,0
11950,EE,2009,0.6948,23,0,e16_19,0.333333,0,0,0.666667,0.333333,0.666667,13.55000019,-14.62905503,0
11951,EE,2009,1.0897,53,1,e20plus,0.2,0,0,0.8,0.2,0.8,13.55000019,-14.62905503,0
11952,EE,2009,1.266,63,1,e16_19,0,0,0,1,0,1,13.55000019,-14.62905503,0
11953,EE,2009,0.8444,36,1,studying,0,0,1,0,0,1,13.55000019,-14.62905503,0
11954,EE,2009,1.1923,59,1,e16_19,0,0,0,0,0,0,13.55000019,-14.62905503,0
11955,EE,2009,0.8572,37,1,studying,0.75,0,0,0.25,0.75,0.25,13.55000019,-14.62905503,0
11956,EE,2009,0.6642,20,0,le15,1,0,0,0,1,0,13.55000019,-14.62905503,0
11957,EE,2009,1.0575,51,1,e16_19,0.428571,0,0.428571,0.142857,0.428571,0.571429,13.55000019,-14.62905503,0
11958,EE,2009,0.9102,41,1,e20plus,1,0,0,0,1,0,13.55000019,-14.62905503,0
11959,EE,2009,1.2472,62,0,e16_19,0.25,0,0.5,0.25,0.25,0.75,13.55000019,-14.62905503,0
11960,EE,2009,0.9102,41,1,e16_19,0.5,0,0,0.5,0.5,0.5,13.55000019,-14.62905503,0
11961,EE,2009,1.1229,55,1,e20plus,0.6,0,0,0.4,0.6,0.4,13.55000019,-14.62905503,0
11962,EE,2009,0.8701,38,0,e20plus,1,0,0,0,1,0,13.55000019,-14.62905503,0
11963,EE,2009,1.1571,57,0,le15,0.5,0,0,0.5,0.5,0.5,13.55000019,-14.62905503,0
11964,EE,2009,0.6255,16,0,e16_19,0.6,0,0.4,0,0.6,0.4,13.55000019,-14.62905503,0
11965,EE,2009,0.8966,40,1,e20plus,0,0,0,1,0,1,13.55000019,-14.62905503,0
11966,EE,2009,0.8444,36,1,e16_19,0,0,0,1,0,1,13.55000019,-14.62905503,0
11967,EE,2009,1.1745,58,1,e20plus,0,0,0,1,0,1,13.55000019,-14.62905503,0
11968,EE,2009,1.0109,48,1,e16_19,0.166667,0,0.833333,0,0.166667,0.833333,13.55000019,-14.62905503,0
11969,EE,2009,0.9811,46,1,le15,0,0,0.333333,0.666667,0,1,13.55000019,-14.62905503,0
11970,EE,2009,0.8072,33,0,e16_19,0,0,0,1,0,1,13.55000019,-14.62905503,0
11971,EE,2009,0.9102,41,1,e20plus,1,0,0,0,1,0,13.55000019,-14.62905503,0
11972,EE,2009,0.9811,46,1,e16_19,0,0,1,0,0,1,13.55000019,-14.62905503,0
11973,EE,2009,0.7952,32,1,studying,1,0,0,0,1,0,13.55000019,-14.62905503,0
11974,EE,2009,0.7952,32,1,e16_19,0.666667,0,0.333333,0,0.666667,0.333333,13.55000019,-14.62905503,0
11975,EE,2009,1.7089,83,1,e20plus,0.2,0,0.6,0.2,0.2,0.8,13.55000019,-14.62905503,0
11976,EE,2009,1.0575,51,1,studying,0.25,0.5,0,0.25,0.75,0.25,13.55000019,-14.62905503,0
11977,EE,2009,0.7952,32,0,e20plus,0.166667,0,0.5,0.333333,0.166667,0.833333,13.55000019,-14.62905503,0
11978,EE,2009,1.1745,58,1,e16_19,0,1,0,0,1,0,13.55000019,-14.62905503,0
11979,EE,2009,1.1398,56,1,e16_19,0.5,0,0.166667,0.333333,0.5,0.5,13.55000019,-14.62905503,0
11980,EE,2009,1.0109,48,1,le15,0.666667,0,0.333333,0,0.666667,0.333333,13.55000019,-14.62905503,0
11981,EE,2009,0.7834,31,1,e20plus,0.5,0,0,0.5,0.5,0.5,13.55000019,-14.62905503,0
11982,EE,2009,0.6446,18,0,le15,0,0.2,0.2,0.6,0.2,0.8,13.55000019,-14.62905503,0
11983,EE,2009,0.9959,47,1,studying,1,0,0,0,1,0,13.55000019,-14.62905503,0
11984,EE,2009,1.5619,77,1,e20plus,0,0,0.333333,0.666667,0,1,13.55000019,-14.62905503,0
11985,EE,2009,0.9959,47,0,e16_19,0,0,0,0,0,0,13.55000019,-14.62905503,0
11986,EE,2009,1.2103,60,0,e16_19,0.6,0,0.4,0,0.6,0.4,13.55000019,-14.62905503,0
11987,EE,2009,0.9521,44,1,e16_19,0.666667,0.333333,0,0,1,0,13.55000019,-14.62905503,0
11988,EE,2009,1.2472,62,0,e20plus,0.142857,0.142857,0.571429,0.142857,0.285714,0.714286,13.55000019,-14.62905503,0
11989,EE,2009,0.8701,38,1,le15,0.2,0,0.8,0,0.2,0.8,13.55000019,-14.62905503,0
11990,EE,2009,0.6255,16,0,e16_19,0.75,0,0,0.25,0.75,0.25,13.55000019,-14.62905503,0
11991,EE,2009,0.9239,42,1,e16_19,0.5,0,0.25,0.25,0.5,0.5,13.55000019,-14.62905503,0
11992,EE,2009,1.0575,51,0,le15,0,0,0,1,0,1,13.55000019,-14.62905503,0
11993,EE,2009,1.2851,64,0,e16_19,0.333333,0.666667,0,0,1,0,13.55000019,-14.62905503,0
11994,EE,2009,1.0575,51,1,e16_19,0.2,0,0.6,0.2,0.2,0.8,13.55000019,-14.62905503,0
11995,EE,2009,1.2286,61,0,e16_19,0,0,0,1,0,1,13.55000019,-14.62905503,0
11996,EE,2009,1.1923,59,1,e20plus,0.8,0,0,0.2,0.8,0.2,13.55000019,-14.62905503,0
11997,EE,2009,1.2851,64,0,e16_19,0.666667,0,0.333333,0,0.666667,0.333333,13.55000019,-14.62905503,0
11998,EE,2009,1.0417,50,1,e16_19,0.5,0,0.5,0,0.5,0.5,13.55000019,-14.62905503,0
11999,EE,2009,0.7378,27,1,e20plus,0.6,0,0.4,0,0.6,0.4,13.55000019,-14.62905503,0
12000,EE,2009,1.0897,53,1,e16_19,0,0,0.666667,0.333333,0,1,13.55000019,-14.62905503,0
12001,EE,2009,0.635,17,0,e16_19,0.666667,0,0.333333,0,0.666667,0.333333,13.55000019,-14.62905503,0
12002,EE,2009,1.1745,58,0,e20plus,0.666667,0,0,0.333333,0.666667,0.333333,13.55000019,-14.62905503,0
12003,EE,2009,1.449,72,0,e16_19,0.5,0,0.5,0,0.5,0.5,13.55000019,-14.62905503,0
12004,EE,2009,1.1398,56,1,le15,0.5,0,0.5,0,0.5,0.5,13.55000019,-14.62905503,0
12005,EE,2010,1.0784,52,0,e16_19,0.333333,0,0.666667,0,0.333333,0.666667,16.70999908,2.444265118,0
12006,EE,2010,0.7192,25,1,le15,0,0,0,0,0,0,16.70999908,2.444265118,0
12007,EE,2010,1.0156,48,0,e16_19,1,0,0,0,1,0,16.70999908,2.444265118,0
12008,EE,2010,0.8741,38,1,le15,0.25,0,0.25,0.5,0.25,0.75,16.70999908,2.444265118,0
12009,EE,2010,0.9856,46,1,e16_19,0,0,0.25,0.75,0,1,16.70999908,2.444265118,0
12010,EE,2010,1.1624,57,1,e16_19,0,0,0,0,0,0,16.70999908,2.444265118,0
12011,EE,2010,0.9564,44,0,studying,1,0,0,0,1,0,16.70999908,2.444265118,0
12012,EE,2010,0.6774,21,1,e20plus,0.5,0,0,0.5,0.5,0.5,16.70999908,2.444265118,0
12013,EE,2010,0.9856,46,0,e20plus,0.142857,0,0.571429,0.285714,0.142857,0.857143,16.70999908,2.444265118,0
12014,EE,2010,1.0465,50,1,e20plus,0,0,0,1,0,1,16.70999908,2.444265118,0
12015,EE,2010,0.6476,18,1,e16_19,1,0,0,0,1,0,16.70999908,2.444265118,0
12016,EE,2010,0.7192,25,0,le15,0.5,0,0.5,0,0.5,0.5,16.70999908,2.444265118,0
12017,EE,2010,0.7192,25,0,e16_19,0.5,0.5,0,0,1,0,16.70999908,2.444265118,0
12018,EE,2010,1.0623,51,0,e16_19,0.25,0.25,0.5,0,0.5,0.5,16.70999908,2.444265118,0
12019,EE,2010,1.2718,63,1,e20plus,0,0,0,0,0,0,16.70999908,2.444265118,0
12020,EE,2010,1.0004,47,1,e20plus,0,0,0.333333,0.666667,0,1,16.70999908,2.444265118,0
12021,EE,2010,0.8741,38,0,e20plus,0.5,0,0.333333,0.166667,0.5,0.5,16.70999908,2.444265118,0
12022,EE,2010,0.8109,33,1,e20plus,0,0,0,1,0,1,16.70999908,2.444265118,0
12023,EE,2010,1.3304,66,0,e20plus,0.25,0,0,0.75,0.25,0.75,16.70999908,2.444265118,0
12024,EE,2010,0.8741,38,0,e16_19,0,0,0,1,0,1,16.70999908,2.444265118,0
12025,EE,2010,1.1799,58,1,le15,0,0,0,0,0,0,16.70999908,2.444265118,0
12026,EE,2010,1.1799,58,0,e20plus,1,0,0,0,1,0,16.70999908,2.444265118,0
12027,EE,2010,0.6876,22,0,e20plus,0.75,0,0.25,0,0.75,0.25,16.70999908,2.444265118,0
12028,EE,2010,1.0004,47,0,e16_19,0.666667,0,0.166667,0.166667,0.666667,0.333333,16.70999908,2.444265118,0
12029,EE,2010,0.8232,34,0,le15,0,0,0.666667,0.333333,0,1,16.70999908,2.444265118,0
12030,EE,2010,1.0784,52,1,e16_19,0.4,0,0,0.6,0.4,0.6,16.70999908,2.444265118,0
12031,EE,2010,1.291,64,1,e16_19,0.5,0,0.5,0,0.5,0.5,16.70999908,2.444265118,0
12032,EE,2010,1.1624,57,0,e16_19,0,0,0.25,0.75,0,1,16.70999908,2.444265118,0
12033,EE,2010,1.2342,61,1,e20plus,0.5,0,0.25,0.25,0.5,0.5,16.70999908,2.444265118,0
12034,EE,2010,1.2159,60,1,e20plus,0.333333,0,0,0.666667,0.333333,0.666667,16.70999908,2.444265118,0
12035,EE,2010,1.1112,54,1,e16_19,0,0,1,0,0,1,16.70999908,2.444265118,0
12036,EE,2010,1.2718,63,0,e20plus,1,0,0,0,1,0,16.70999908,2.444265118,0
12037,EE,2010,1.1112,54,0,studying,0,0,0,1,0,1,16.70999908,2.444265118,0
12038,EE,2010,0.8873,39,1,e16_19,0.5,0.5,0,0,1,0,16.70999908,2.444265118,0
12039,EE,2010,0.7192,25,0,le15,1,0,0,0,1,0,16.70999908,2.444265118,0
12040,EE,2010,0.7989,32,1,e16_19,1,0,0,0,1,0,16.70999908,2.444265118,0
12041,EE,2010,0.6379,17,0,e16_19,0,0,0.5,0.5,0,1,16.70999908,2.444265118,0
12042,EE,2010,1.128,55,0,e16_19,1,0,0,0,1,0,16.70999908,2.444265118,0
12043,EE,2010,1.3505,67,1,e16_19,0.25,0,0.75,0,0.25,0.75,16.70999908,2.444265118,0
12044,EE,2010,0.7637,29,1,le15,0,0,0,0,0,0,16.70999908,2.444265118,0
12045,EE,2010,1.2159,60,0,e20plus,0,0,1,0,0,1,16.70999908,2.444265118,0
12046,EE,2010,1.1112,54,0,e20plus,0,0,0,1,0,1,16.70999908,2.444265118,0
12047,EE,2010,0.7192,25,0,e16_19,0.5,0,0.166667,0.333333,0.5,0.5,16.70999908,2.444265118,0
12048,EE,2010,1.0947,53,1,e16_19,0,0,0,1,0,1,16.70999908,2.444265118,0
12049,EE,2010,1.1624,57,1,le15,0,0,0,0,0,0,16.70999908,2.444265118,0
